dateissue,Value
13910417,25445.50
13910418,25354.30
13910419,25279.20
13910420,25307.50
13910421,25388.10
13910424,25431.50
13910425,25296.10
13910426,25159.70
13910427,25021.30
13910428,25039.20
13910431,25021.20
13910501,24996.00
13910502,25029.50
13910503,25094.30
13910504,25088.80
13910507,25023.30
13910508,24747.40
13910509,24550.40
13910510,24584.00
13910511,24546.70
13910514,24332.60
13910515,24108.50
13910516,24001.00
13910517,23855.10
13910518,23787.30
13910521,23957.20
13910522,24024.20
13910523,24049.70
13910524,24102.10
13910525,24125.30
13910528,24144.70
13910531,24279.10
13910601,24339.20
13910604,24523.20
13910605,24586.50
13910606,24649.00
13910612,24730.10
13910613,25055.00
13910614,25384.00
13910615,25659.90
13910618,25791.90
13910619,25569.20
13910620,25735.10
13910621,25889.20
13910625,26283.70
13910626,26217.20
13910627,26470.60
13910628,26556.90
13910629,26514.50
13910701,26875.30
13910702,27127.10
13910703,27080.70
13910704,27440.10
13910705,28132.20
13910708,28828.70
13910709,29207.10
13910710,28788.80
13910711,28667.10
13910712,29098.50
13910715,28862.90
13910716,28858.60
13910717,29014.10
13910718,29032.50
13910719,28845.70
13910722,28557.90
13910723,28656.10
13910724,28981.30
13910725,29248.20
13910726,29502.00
13910729,29992.60
13910730,30211.40
13910801,30671.60
13910802,30615.70
13910803,30749.30
13910806,31121.70
13910807,31160.10
13910808,31221.50
13910809,31331.60
13910810,31082.40
13910814,31205.20
13910815,30736.60
13910816,30940.30
13910817,31282.90
13910820,31220.10
13910821,31015.60
13910822,30978.80
13910823,31215.00
13910824,31336.40
13910827,31260.30
13910828,31271.20
13910829,31096.50
13910830,31140.90
13910901,31259.50
13910906,31608.90
13910907,32018.10
13910908,32339.50
13910911,32741.50
13910912,33113.50
13910913,33015.70
13910914,33073.40
13910915,33282.00
13910918,33659.90
13910919,33612.60
13910920,33760.80
13910921,33889.40
13910922,33687.00
13910925,33949.30
13910926,34090.90
13910927,34669.50
13910928,35106.20
13910929,35760.30
13911002,36040.50
13911003,36829.30
13911004,37530.70
13911005,37366.40
13911006,37798.80
13911009,37622.40
13911010,37116.30
13911011,37860.60
13911012,37987.00
13911013,37648.50
13911017,37059.00
13911018,37077.00
13911019,37314.90
13911020,37441.50
13911024,37786.20
13911025,38082.80
13911026,38322.50
13911027,38343.60
13911030,37898.80
13911101,37627.50
13911102,37284.00
13911103,36594.00
13911104,37233.70
13911107,37409.40
13911108,36723.30
13911109,36674.70
13911111,36554.90
13911114,36801.40
13911115,36761.10
13911116,36447.00
13911117,36505.60
13911118,36913.30
13911121,38205.40
13911123,38394.30
13911124,38640.10
13911125,38611.40
13911128,38655.00
13911129,38710.30
13911130,38739.40
13911201,38550.80
13911202,38479.20
13911205,38325.80
13911206,37931.10
13911207,37350.60
13911208,37573.70
13911209,37811.60
13911212,37437.20
13911213,37156.10
13911214,37135.90
13911215,36950.60
13911216,36925.10
13911219,36585.50
13911220,37101.00
13911221,37193.60
13911222,37268.40
13911223,37998.70
13911226,37854.80
13911227,37516.10
13911228,38040.80
13920105,38602.60
13920106,39351.10
13920107,39741.80
13920110,39714.90
13920111,39990.20
13920114,40151.10
13920117,40134.30
13920118,39915.60
13920119,40068.00
13920120,40606.60
13920121,40533.00
13920124,40255.10
13920126,40621.00
13920127,40834.90
13920128,40747.60
13920131,40550.80
13920201,40506.00
13920202,41133.00
13920203,41583.80
13920204,42052.40
13920207,42334.20
13920208,42507.70
13920209,43192.30
13920210,43994.30
13920211,44537.10
13920214,44993.50
13920215,44897.90
13920216,44943.70
13920217,44707.40
13920218,44683.90
13920221,45091.40
13920222,45512.70
13920223,44963.30
13920224,44129.00
13920225,43864.30
13920228,43301.00
13920229,42795.50
13920230,43047.30
13920231,42855.70
13920301,42777.20
13920304,43485.20
13920305,43910.70
13920306,44107.40
13920307,44470.70
13920308,45162.20
13920311,44945.10
13920312,45247.80
13920313,45590.00
13920318,45488.20
13920319,45199.10
13920320,45206.50
13920321,45553.40
13920322,45671.90
13920325,46623.00
13920326,47817.90
13920327,48333.30
13920328,48783.00
13920329,48916.70
13920401,48539.30
13920402,48631.10
13920404,48634.00
13920405,49427.40
13920408,50471.10
13920409,51321.30
13920410,52244.10
13920411,51846.30
13920412,52735.20
13920415,54289.70
13920416,54768.60
13920417,54616.00
13920418,54534.20
13920419,55069.70
13920422,54744.00
13920423,54298.70
13920424,54509.30
13920425,54235.90
13920426,54433.60
13920429,54872.30
13920430,55101.00
13920431,55329.30
13920501,55942.40
13920502,56426.30
13920505,56290.30
13920506,56551.90
13920507,56400.20
13920509,57168.20
13920512,57397.20
13920513,57264.40
13920514,57415.90
13920515,57674.80
13920516,58142.60
13920520,58889.90
13920521,59608.50
13920522,59754.80
13920523,59610.20
13920526,60410.30
13920527,59938.60
13920528,60052.20
13920529,59568.00
13920530,59281.60
13920602,59552.80
13920603,61163.50
13920604,60675.70
13920605,60002.40
13920606,58727.30
13920609,58561.00
13920610,59057.00
13920612,58962.90
13920613,58146.10
13920616,57491.60
13920617,57198.10
13920618,57035.40
13920619,58190.40
13920620,59164.60
13920623,59117.40
13920624,59401.50
13920625,59347.70
13920626,60056.40
13920627,60964.10
13920630,62053.20
13920631,61707.20
13920701,62904.80
13920702,63010.20
13920703,63455.30
13920706,64695.40
13920707,65328.80
13920708,65720.00
13920709,66350.00
13920710,66506.30
13920713,66662.50
13920714,66997.70
13920715,67019.00
13920716,67505.30
13920717,68461.50
13920720,69703.50
13920721,70951.50
13920722,71471.80
13920723,72766.50
13920727,74400.20
13920728,73335.60
13920729,73636.10
13920730,72997.70
13920801,73030.70
13920804,73549.80
13920805,72201.00
13920806,72215.00
13920807,73167.40
13920808,73553.20
13920811,73504.80
13920812,73766.20
13920813,73733.60
13920814,74438.10
13920815,75868.90
13920818,76959.90
13920819,77118.90
13920820,76895.90
13920821,76932.90
13920825,77673.00
13920826,77214.20
13920827,77328.10
13920828,78142.00
13920829,78424.10
13920902,78874.50
13920903,80022.20
13920904,81186.80
13920905,81549.50
13920906,82129.80
13920909,83572.50
13920910,84384.90
13920911,83706.50
13920912,83775.60
13920913,84211.40
13920916,84659.40
13920917,85149.90
13920918,85310.40
13920919,85962.20
13920920,86511.20
13920923,85691.10
13920924,87024.10
13920925,88112.50
13920926,87646.10
13920927,87726.20
13920930,86957.10
13921001,87015.50
13921003,88113.70
13921004,88190.70
13921007,87691.70
13921008,87425.20
13921009,87451.90
13921011,88313.40
