dateissue,Value
13910918,40964.20
13910919,40972.60
13910920,41215.40
13910921,41309.20
13910922,41005.00
13910925,41265.60
13910926,41461.20
13910927,42110.10
13910928,42653.70
13910929,43341.00
13911002,43585.60
13911003,44438.20
13911004,45216.40
13911005,44875.20
13911006,45334.70
13911009,45017.30
13911010,44504.40
13911011,45169.20
13911012,45282.40
13911013,44916.30
13911017,44236.10
13911018,44222.90
13911019,44519.70
13911020,44693.30
13911024,45053.60
13911025,45405.20
13911026,45709.50
13911027,45719.20
13911030,45175.40
13911101,44876.90
13911102,44455.10
13911103,43639.90
13911104,44371.10
13911107,44490.30
13911108,43622.20
13911109,43559.80
13911111,43414.20
13911114,43706.60
13911115,43646.50
13911116,43295.90
13911117,43308.90
13911118,43818.40
13911121,45043.70
13911123,45292.10
13911124,45531.20
13911125,45427.50
13911128,45430.90
13911129,45519.60
13911130,45548.30
13911201,45362.70
13911202,45234.30
13911205,44974.10
13911206,44458.10
13911207,43765.70
13911208,44043.90
13911209,44213.30
13911212,43728.30
13911213,43396.70
13911214,43452.20
13911215,43361.70
13911216,43319.60
13911219,42882.30
13911220,43311.50
13911221,43362.10
13911222,43554.80
13911223,44334.60
13911226,44226.10
13911227,43963.20
13911228,44620.30
13920105,45325.30
13920106,46182.20
13920107,46564.90
13920110,46527.70
13920111,46764.30
13920114,46992.50
13920117,46997.30
13920118,46728.50
13920119,46792.70
13920120,47194.00
13920121,47046.60
13920124,46691.90
13920126,47012.10
13920127,47168.40
13920128,46955.80
13920131,46720.00
13920201,46738.30
13920202,47440.60
13920203,48096.40
13920204,48539.70
13920207,48792.60
13920208,48887.20
13920209,49623.40
13920210,50361.50
13920211,50983.70
13920214,51624.30
13920215,51674.70
13920216,51605.30
13920217,51213.90
13920218,51046.90
13920221,51569.40
13920222,51954.60
13920223,51214.00
13920224,50331.00
13920225,49948.80
13920228,49364.30
13920229,48918.20
13920230,49229.10
13920231,49124.50
13920301,49016.00
13920304,49834.10
13920305,50331.00
13920306,50393.10
13920307,50706.80
13920308,51482.90
13920311,51365.40
13920312,51815.30
13920313,52154.00
13920318,51937.70
13920319,51702.90
13920320,51821.30
13920321,52310.30
13920322,52628.30
13920325,53873.60
13920326,55391.40
13920327,56194.50
13920328,57006.10
13920329,57219.60
13920401,57012.90
13920402,57161.40
13920404,57074.30
13920405,57940.00
13920408,59219.30
13920409,60287.60
13920410,61678.20
13920411,61302.80
13920412,62504.90
13920415,64342.10
13920416,64648.80
13920417,64479.90
13920418,64505.40
13920419,65036.50
13920422,64453.70
13920423,63781.90
13920424,64033.90
13920425,63613.70
13920426,63913.40
13920429,64287.00
13920430,64431.70
13920431,64673.40
13920501,65525.10
13920502,66239.30
13920505,65966.70
13920506,66308.40
13920507,66883.70
13920509,67957.40
13920512,68587.40
13920513,68354.70
13920514,68132.40
13920515,68252.30
13920516,68834.50
13920520,69808.40
13920521,70814.70
13920522,71315.10
13920523,71141.20
13920526,71998.10
13920527,71263.30
13920528,71405.20
13920529,70605.20
13920530,70134.90
13920602,70480.80
13920603,71574.60
13920604,71070.10
13920605,70279.30
13920606,68670.40
13920609,68191.60
13920610,68650.40
13920612,68461.80
13920613,67426.60
13920616,66541.20
13920617,66296.00
13920618,66237.70
13920619,67595.60
13920620,68909.60
13920623,69063.30
13920624,69470.90
13920625,69342.80
13920626,70197.40
13920627,71345.20
13920630,72603.90
13920631,72367.50
13920701,73959.40
13920702,73880.90
13920703,74148.30
13920706,75836.00
13920707,76146.90
13920708,76154.40
13920709,76949.30
13920710,77116.70
13920713,77328.50
13920714,77775.20
13920715,77680.60
13920716,77806.30
13920717,78688.00
13920720,79961.60
13920721,80985.50
13920722,81180.10
13920723,82538.00
13920727,84703.50
13920728,83717.80
13920729,84116.10
