dateissue,Value
13951204,15831.30
13951207,15840.30
13951208,15817.50
13951209,15812.50
13951210,15791.80
13951211,15791.50
13951214,15688.10
13951215,15608.30
13951216,15557.10
13951217,15525.30
13951218,15429.10
13951221,15334.00
13951222,15354.40
13951223,15428.40
13951224,15526.80
13951225,15572.60
13951228,15722.80
13960105,15868.00
13960106,15926.20
13960107,15962.60
13960108,16059.30
13960109,16115.80
13960114,16218.90
13960115,16286.40
13960116,16392.50
13960119,16562.60
13960120,16701.50
13960121,16873.70
13960123,16931.00
13960126,17111.20
13960127,17090.40
13960128,17002.40
13960129,17003.70
13960130,17091.90
13960202,17344.10
13960203,17369.70
13960204,17445.30
13960206,17575.00
13960209,17585.70
13960210,17575.60
13960211,17601.20
13960212,17653.10
13960213,17707.60
13960216,17714.20
13960217,17691.90
13960218,17614.60
13960219,17468.70
13960220,17553.30
13960223,17489.50
13960224,17353.20
13960225,17323.60
13960226,17398.30
13960227,17421.50
13960230,17673.10
13960231,17631.70
13960301,17604.10
13960302,17658.00
13960303,17702.60
13960306,17608.70
13960307,17511.50
13960308,17472.70
13960309,17448.60
13960310,17486.20
13960313,17475.30
13960316,17434.50
13960317,17230.40
13960320,17239.10
13960321,17169.60
13960322,17110.50
13960323,17098.90
13960324,17184.20
13960327,17148.80
13960328,17005.80
13960329,16939.00
13960330,16963.80
13960331,16963.60
13960403,17014.30
13960404,17078.50
13960407,17115.70
13960410,17181.20
13960411,17160.40
13960412,17163.00
13960413,17166.60
13960414,17193.70
13960417,17227.50
13960418,17268.90
13960419,17323.20
13960420,17343.40
13960421,17344.10
13960424,17383.00
13960425,17367.20
13960426,17355.70
13960427,17390.80
13960428,17541.30
13960431,17669.40
13960501,17729.80
13960502,17796.70
13960503,17823.30
13960504,17819.60
13960507,17765.40
13960508,17777.80
13960509,17818.00
13960510,17810.40
13960511,17815.70
13960515,17846.10
13960516,17735.60
13960517,17678.90
13960518,17700.60
13960521,17653.60
13960522,17562.10
13960523,17536.40
13960524,17628.40
13960525,17625.10
13960528,17635.70
13960529,17655.80
13960530,17688.90
13960531,17703.40
13960601,17733.10
13960604,17750.10
13960605,17770.50
13960606,17838.10
13960607,17868.00
13960608,17895.20
13960611,17848.40
13960612,17777.30
13960613,17709.10
13960614,17688.40
13960615,17634.60
13960619,17573.50
13960620,17556.90
13960621,17540.80
13960622,17546.30
13960625,17589.50
13960626,17656.90
13960627,17773.40
13960628,17854.80
13960629,17951.00
13960701,17965.30
13960702,17954.40
13960703,17953.30
13960704,18001.10
13960705,18007.80
13960710,17876.30
13960711,17762.50
13960712,17769.90
13960715,17595.70
13960716,17328.30
13960717,17312.00
13960718,17347.10
13960719,17358.50
13960722,17486.10
13960723,17521.90
13960724,17582.40
13960725,17545.60
13960726,17503.30
13960729,17556.60
13960730,17576.10
13960801,17499.80
13960802,17481.00
13960803,17480.40
13960806,17460.30
13960807,17428.60
13960808,17440.10
13960809,17475.40
13960810,17525.20
13960813,17561.50
13960814,17616.20
13960815,17579.20
13960816,17551.80
13960817,17542.90
13960820,17531.60
13960821,17512.00
13960822,17521.30
13960823,17540.00
13960824,17547.60
13960827,17552.60
13960829,17536.40
13960830,17535.00
13960901,17562.90
13960904,17655.70
13960905,17632.60
13960907,17628.60
